id,message,translated_message,compound_score,sentiment_label,cleaned_text
1,"Lelaki ini wajib disabitkan atas niat membunuh. Dia punca kemalangan  mengakibatkan 4 sekeluarga meninggal dunia di Johor. Dia adalah anak taukeh judi Simpang Renggam. Dan taukeh judi sekarang ada seorang anak berstatus pembunuh. Taukeh judi jangan cuba lari dari fakta, video dashcam ada sebagai bukti. 
Tak nak letak harapan tinggi dpd pihak berkuasa tapi harap polis tangani kes penuh dengan integriti. Jangan ada alasan2 tak masuk akal dibuat untuk pusing pusing bagi orang pening.","This man is supposed to be mentioned for his purpose of killing. He is a victim of the 4 families that died in Johor. He is a son of the great Simpang Rangem. And now a child is a murderer. The father does not try to run from the fact, the dashcam video is evidence. The high hopes of the authorities are not always high but the desire of the police to deal with the case is completely in the way of integrity. There is no reason why no one should be made to put pressure on the person.",-0.6542,Negative,man supposed mentioned purpose killing victim family died johor son great simpang rangem child murderer father try run fact dashcam video evidence high hope authority always high desire police deal case completely way integrity reason one made put pressure person
2,"Lelaki ini wajib disabitkan atas niat membunuh. Dia punca kemalangan  mengakibatkan 4 sekeluarga meninggal dunia di Johor. Dia adalah anak taukeh judi Simpang Renggam. Dan taukeh judi sekarang ada seorang anak berstatus pembunuh. Taukeh judi jangan cuba lari dari fakta, video dashcam ada sebagai bukti.",This man is responsible for his murder. He is the main cause of the death of 4 families in Johor. He is the son of the great Simpang Rangem. And now there is a child who is a killer.,-0.8176,Negative,man responsible murder main cause death family johor son great simpang rangem child killer
3,Tak nak letak harapan tinggi dpd pihak berkuasa tapi harap polis tangani kes penuh dengan integriti. Jangan ada alasan2 tak masuk akal dibuat untuk pusing pusing bagi orang pening.,The high hopes of the authorities are not always high but the police are hoping to handle the case in a perfectly fair manner. There is no reason why no reason is there to be a push for the people of the country.,0.8674,Positive,high hope authority always high police hoping handle case perfectly fair manner reason reason push people country
4,Kes ustazah outo kena tersilap tekan minyak ni berlumba babit 4 kematian sama2 kita tengok apa pehak berkuasa lakukan atau ini antara dua darjat,Car crashing car's got a bad turn to oil running 4 deaths.,-0.5423,Negative,car crashing car got bad turn oil running death
5,Muka x bersalah langsung …,You're wrong about x right now...,-0.4767,Negative,youre wrong x right
6,Depa tahu ramai yang dok back up depa nanti …,Depa knows many doc back up later...,0.0,Neutral,depa know many doc back later
7,Kad OKu on the way …,Kad Oku on the way...,0.0,Neutral,kad oku way
8,Komfom ada kat OKU,Kinfom has a map OKU,0.0,Neutral,kinfom map oku
9,Tak perlu berharap keadilan zaman nie,No need to expect justice at all,0.296,Positive,need expect justice
10,Mereka akan lepas,They're gonna be gone.,0.0,Neutral,theyre gon na gone
11,Pembunuh,Killer,-0.6486,Negative,killer
12,dh thu ending mcm mana,you have entered mcm,0.0,Neutral,entered mcm
13,ada $$$boleh settle，he don care la，（he face said）,"There's $$$boleh set,he don't do it,(he made say)",0.0,Neutral,there boleh sethe dont ithe made say
14,Muka cam tak bersalah jer...hanat betul...mungkin dia dah tahu boleh lepas bayar denda pun lebih kurang Rm5k jer.. .bapa kaya boleh bayar,The innocent lamb is not guilty of theft... the right thing... maybe he knows he can lose his money less than a Rm5k of silver.,0.2575,Positive,innocent lamb guilty theft right thing maybe know lose money less rmk silver
15,nape dua2 xmmpos??,Two xmmpos?,0.0,Neutral,two xmmpos
16,"Rasanya Anthony Loke dan DAP akan masuk campur,,,,maka bebas lah dia berlumba lagi","I think Anthony Locke and DAP are gonna get into the camp, but he's free to run again.",0.6652,Positive,think anthony locke dap gon na get camp he free run
17,Last2 los dgn ikat jamin..percayalah..ni semua lebih Dari kartun.. duit jd perisai,Last2 leaves the fish safe... believe it's more than a card.,0.4404,Positive,last leaf fish safe believe card
18,Ustazah yang langgar ank muridnya pun kena penjara. Itu terlanggar seorang sahaja. Inikan pula langgar ramai org sampai mati.,"The soldiers who were about to go into prison with his disciples were the only ones who met them, and this provided a means of many hours of hard labor.",-0.5719,Negative,soldier go prison disciple one met provided mean many hour hard labor
19,Harap-harap PDRM bekerja dengan Telus Dan integriti. Jangan tiba2 ada kad OKU pulak. jangan ada MENTERI-MENTERI yang masuk campur dan back up ini olang.,PDRM hopes work with Teles and integrity. Don't get any OKU card back. No MENTERI-MENTERI entering the campur and back up this mess.,0.0836,Positive,pdrm hope work teles integrity dont get oku card back menterimenteri entering campur back mess
20,kad oku dah ade tu...cnfmm,I don't know what you're doing.,0.0,Neutral,dont know youre
21,"Kita tgh la depa spin pulak, money is king","We choose the top spindle, money and king",0.2023,Positive,choose top spindle money king
22,Ada duit semua selamat kak. Jangan lupa kes Addy Kana boleh lepas lokap SPRM. Skrg masih terkinja² dengan bini dia sambut birthday macam tak ingat dunia.,There's money all over the cat. Don't forget that Addy Kana can drop off the SPRM lock.,-0.1114,Negative,there money cat dont forget addy kana drop sprm lock
